#t	m1	m2	m3
272	0.9072	-0.063	0.3606
273	0.9046	-0.0566	0.3576
274	0.903	-0.0622	0.3598
275	0.9004	-0.0588	0.359
276	0.9032	-0.0518	0.347
277	0.909	-0.068	0.3592
278	0.9144	-0.0788	0.3526
279	0.9172	-0.0808	0.3602
280	0.9154	-0.0828	0.3576
281	0.914	-0.0934	0.3624
282	0.9084	-0.092	0.3566
283	0.902	-0.094	0.3722
284	0.9088	-0.0822	0.36
285	0.912	-0.078	0.3646
286	0.91	-0.0656	0.3642
287	0.9052	-0.0644	0.3724
288	0.9098	-0.0754	0.378
289	0.9122	-0.0792	0.384
290	0.919	-0.0822	0.3844
291	0.919	-0.0842	0.375
292	0.9166	-0.0826	0.3704
293	0.9172	-0.0854	0.3672
294	0.9162	-0.082	0.3766
295	0.9222	-0.0802	0.3894
296	0.9198	-0.0794	0.3862
297	0.919	-0.0752	0.3782
298	0.907	-0.0784	0.3692
299	0.9036	-0.0652	0.369
300	0.8956	-0.0644	0.369
301	0.8954	-0.0646	0.38
302	0.8964	-0.057	0.3772
303	0.897	-0.0498	0.3842
304	0.8974	-0.059	0.3854
305	0.8938	-0.0704	0.3946
306	0.8988	-0.08	0.3956
307	0.8956	-0.0808	0.3964
308	0.8966	-0.0874	0.3956
309	0.9024	-0.0906	0.4042
310	0.9046	-0.0754	0.404
311	0.9042	-0.076	0.4046
312	0.9022	-0.062	0.4086
313	0.9104	-0.0514	0.4248
314	0.9116	-0.053	0.4262
315	0.9082	-0.0666	0.4306
316	0.9092	-0.0794	0.4264
317	0.9108	-0.0726	0.4224
318	0.9142	-0.0654	0.422
319	0.917	-0.0642	0.423
320	0.9226	-0.0612	0.4146
321	0.9198	-0.0696	0.4246
322	0.922	-0.0638	0.4198
323	0.9204	-0.0644	0.4192
324	0.921	-0.0636	0.4082
325	0.9294	-0.0584	0.4014
326	0.9292	-0.07	0.3962
327	0.9238	-0.0602	0.4002
328	0.9262	-0.0646	0.402
329	0.9166	-0.0698	0.4038
330	0.9172	-0.072	0.402
331	0.9118	-0.0718	0.3938
332	0.9122	-0.074	0.3914
333	0.9124	-0.0748	0.3876
334	0.9222	-0.0924	0.3806
335	0.9192	-0.0924	0.3764
336	0.9248	-0.0914	0.3786
337	0.9316	-0.0872	0.3796
338	0.9184	-0.085	0.3804
339	0.9152	-0.0858	0.3794
340	0.9166	-0.097	0.381
341	0.9128	-0.0996	0.3726
342	0.9202	-0.0942	0.3746
343	0.918	-0.079	0.3766
344	0.9148	-0.0984	0.3816
345	0.9194	-0.0954	0.3866
346	0.9216	-0.0888	0.3878
347	0.9264	-0.0822	0.3892
348	0.925	-0.0876	0.3898
349	0.929	-0.0842	0.3958
350	0.9282	-0.0754	0.4008
351	0.923	-0.0706	0.4056
352	0.9226	-0.0746	0.4066
353	0.919	-0.076	0.4122
354	0.9224	-0.0844	0.4114
355	0.9142	-0.0852	0.4094
356	0.9144	-0.0762	0.4006
357	0.911	-0.0726	0.3978
358	0.9118	-0.0712	0.4056
359	0.9132	-0.0636	0.403
360	0.917	-0.0668	0.3958
361	0.9194	-0.0576	0.4
362	0.9188	-0.0546	0.3936
363	0.9234	-0.0596	0.3862
364	0.9132	-0.0664	0.3814
365	0.909	-0.0562	0.3906
366	0.9076	-0.0622	0.3872
367	0.906	-0.0664	0.382
368	0.909	-0.0728	0.3828
369	0.924	-0.0672	0.3844
370	0.9206	-0.071	0.3682
371	0.9218	-0.074	0.3722
372	0.9174	-0.0796	0.3732
373	0.925	-0.0832	0.3712
374	0.9152	-0.0798	0.3696
375	0.9108	-0.0726	0.3794
376	0.9188	-0.0616	0.3844
377	0.9186	-0.0664	0.3896
378	0.9258	-0.0604	0.3854
379	0.9232	-0.0646	0.3882
380	0.924	-0.0632	0.394
381	0.9182	-0.0724	0.398
382	0.9228	-0.0774	0.3952
383	0.921	-0.0796	0.4018
384	0.9182	-0.0836	0.4052
385	0.9246	-0.085	0.4078
386	0.9212	-0.0954	0.4082
387	0.9246	-0.0898	0.4098
388	0.9266	-0.1034	0.413
389	0.9206	-0.094	0.4152
390	0.9198	-0.0884	0.4246
391	0.9144	-0.0944	0.4232
392	0.9124	-0.0936	0.4256
393	0.9002	-0.096	0.4206
394	0.8998	-0.1046	0.4344
395	0.9016	-0.1092	0.422
396	0.9072	-0.1046	0.4166
397	0.9016	-0.1034	0.4186
398	0.8906	-0.1056	0.4236
399	0.8922	-0.1062	0.4244
400	0.8974	-0.101	0.4148
401	0.901	-0.109	0.4136
402	0.8996	-0.1022	0.412
403	0.896	-0.0916	0.4138
404	0.895	-0.0788	0.4144
405	0.8954	-0.0896	0.4242
406	0.9086	-0.1016	0.419
407	0.9082	-0.112	0.4112
408	0.9008	-0.113	0.4158
409	0.9086	-0.1202	0.4154
410	0.9078	-0.1194	0.4084
411	0.9078	-0.1184	0.3982
412	0.9096	-0.1154	0.4036
413	0.9008	-0.0998	0.405
414	0.8994	-0.0924	0.4102
415	0.8894	-0.0904	0.4096
416	0.8846	-0.09	0.4092
417	0.8968	-0.0964	0.4044
418	0.9048	-0.1026	0.404
419	0.9056	-0.1026	0.3938
420	0.8984	-0.0948	0.3888
421	0.8954	-0.09	0.4008
422	0.9042	-0.0876	0.396
423	0.8998	-0.0868	0.4066
424	0.9026	-0.0796	0.3922
425	0.898	-0.0634	0.3888
426	0.8974	-0.057	0.4
427	0.8934	-0.0536	0.3978
428	0.8948	-0.0632	0.3994
429	0.8996	-0.0522	0.4008
430	0.9036	-0.055	0.4008
431	0.9018	-0.0602	0.4018
432	0.9026	-0.0666	0.4036
433	0.8972	-0.0758	0.3982
434	0.9032	-0.0814	0.3912
435	0.908	-0.0828	0.3824
436	0.9006	-0.0802	0.3852
437	0.904	-0.0822	0.3864
438	0.899	-0.087	0.3836
439	0.8922	-0.0838	0.394
440	0.8912	-0.088	0.3996
441	0.891	-0.085	0.3966
442	0.8982	-0.0812	0.4008
443	0.8934	-0.0752	0.4066
444	0.898	-0.0748	0.4008
445	0.902	-0.0704	0.4024
446	0.912	-0.0678	0.3928
447	0.9056	-0.0734	0.3956
448	0.9048	-0.068	0.3902
449	0.9088	-0.061	0.3978
450	0.9186	-0.0684	0.4006
451	0.9134	-0.073	0.4054
452	0.9056	-0.0676	0.4012
453	0.9056	-0.0624	0.4038
454	0.9132	-0.056	0.395
455	0.9194	-0.0538	0.4048
456	0.9144	-0.0732	0.407
457	0.918	-0.068	0.3986
458	0.9134	-0.0608	0.3904
459	0.9112	-0.0642	0.3896
